"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"Zakład Fryzjerski",,"Daleka 21",Wągrowiec,62-014,"Aneta Babrakowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(660)632639,,prywatna,"zakład prywatny bez formy prawnej",,,5,,1989,<span>93.02.1</span>Fryzjerstwo,"<span>7241</span>Salony fryzjerskie","fryzjerstwo damsko-męskie"
"LIBRA CAFE",,"Dębińska 1",Wągrowiec,62-734,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2696493 (509)395791 (509)395792 (509)395799",(67)2696493,prywatna,"zakład prywatny bez formy prawnej","<a title=""@libracafe.pl"">biuro</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.libracafe.pl"">www.libracafe.pl</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.harney.pl"">www.harney.pl</a>
",,,,"
<span>51.37</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5137%20sprzedaz%20hurtowa%20herbaty%20kawy%20kakao%20i%20przypraw"">Sprzedaż hurtowa herbaty, kawy, kakao i przypraw</a>
<span>52.44.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52443%20sprzedaz%20detaliczna%20naczyn%20kuchennych%20sztuccow%20ceramiki%20stolowej%20wyrobow%20szklanych"">Sprzedaż detaliczna naczyń kuchennych, sztućców, ceramiki stołowej, wyrobów szklanych</a>
","
<span>514909</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC514909%20kawa%20i%20herbata%20hurt"">Kawa i herbata, hurt</a>
<span>571901</span>Sprzęt kuchenny, handel detaliczny
","
Cafe Vergnano, herbata
dystrybutor produktów Harney &amp; Sons na Polskę
ekspresy do kawy, akcesoria

"
"Sklep Spożywczo-Przemysłowy Frykas",Frykas,"Dębińska 11a",Wągrowiec,62-452,"Jolanta Kuczerepa",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2618412,,prywatna,"zakład prywatny bez formy prawnej",,,1,"50,000 zł.",1996,"
<span>52.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE522%20sprzedaz%20detaliczna%20zywnosci%20napojow%20i%20wyrobow%20tytoniowych%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych w wyspecjalizowanych sklepach</a>
<span>52.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524%20sprzedaz%20detaliczna%20towarow%20przemyslowych%20prowadzona%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna towarów przemysłowych prowadzona w wyspecjalizowanych sklepach</a>
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>52.25.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52251%20sprzedaz%20detaliczna%20napojow%20alkoholowych"">Sprzedaż detaliczna napojów alkoholowych</a>
","
<span>5399</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5399%20roznorodne%20sklepy%20spozywczo%20%20przemyslowe"">Różnorodne sklepy spożywczo - przemysłowe</a>
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
<span>5921</span>Sklepy monopolowe
","
artykuły spożywcze
kosmetyki
alkohole
"
"GROBUD Sp. z o.o. - Biuro Handlowe",,"Dworcowa 5",Wągrowiec,62-513,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2651751,(67)2651751,prywatna,"spółka z o.o.","<a title=""@grobud.pl"">grobud</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.grobud.pl"">www.grobud.pl</a>",,,,"<span>51.53.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51532%20sprzedaz%20hurtowa%20niedrewnianych%20materialow%20budowlanych"">Sprzedaż hurtowa niedrewnianych materiałów budowlanych</a>","<span>503103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC503103%20stolarka%20okienna%20i%20drzwiowa%20hurt"">Stolarka okienna i drzwiowa, hurt</a>","stolarka okienna z PVC"
"Przedsiębiorstwo Komunikacji Samochodowej Sp. z o.o. w Pile - Dworzec w Wągrowcu","PKS Sp. z o.o. - Dworzec w Wągrowcu","Pl. Dworcowy 7",Wągrowiec,62-622,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2670473,,"Skarb Państwa","spółka z o.o.",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pkspila.pl"">www.pkspila.pl</a>",,,,"<span>60.21.2</span>Rozkładowy międzymiastowy przewóz pasażerów, z wyjątkiem kolejowego","<span>4131</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4131%20przewozy%20autobusowe%20miedzymiastowe%20i%20wiejskie"">Przewozy autobusowe międzymiastowe i wiejskie</a>","


"
"Zakład Murarski Tasbud",,"Główna Osiedla 2",Wągrowiec,62-953,"Kazimierz Szcześniak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2622027,,prywatna,"zakład prywatny bez formy prawnej",,,3,,1978,"
<span>45.41</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE4541%20tynkowanie"">Tynkowanie</a>
<span>45.21.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45211%20roboty%20ogolnobudowlane"">Roboty ogólnobudowlane</a>
","
<span>1742</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC1742%20murarstwo%20izolacja%20scian"">Murarstwo, izolacja ścian</a>
<span>1521</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC1521%20budowa%20domow%20typu%20jednorodzinnego"">Budowa domów typu jednorodzinnego</a>
<span>177101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC177101%20tynkowanie%20sztukatorstwo"">Tynkowanie, sztukatorstwo</a>
",
"Zakład Powroźniczy ArtLin",,"Główna Osiedla 12",Wągrowiec,62-733,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2652056,(67)2655850,prywatna,"zakład prywatny bez formy prawnej","<a title=""@czarniecki.pl"">pow</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.czarniecki.pl"">www.czarniecki.pl</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://wwy.sznury.com.pl"">wwy.sznury.com.pl</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://wyw.sznurki.com.pl"">wyw.sznurki.com.pl</a>
",10,,1954,"<span>17.52.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE17521%20produkcja%20wyrobow%20powrozniczych%20lin%20szpagatow"">Produkcja wyrobów powroźniczych, lin, szpagatów</a>","<span>229802</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC229802%20sznury%20i%20szpagaty%20produkcja"">Sznury i szpagaty, produkcja</a>","sznurki, sznury, linki, liny"
"Zakład Usługowo-Handlowy ZLEP Wytwórnia Pieczątek","ZUH ZLEP Wytwórnia Pieczątek","Główna Osiedlowa 3b m. 3",Wągrowiec,62-234,"Zofia Andrzejak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2633038,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1991,"<span>22.25.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE22252%20wykonywanie%20stempli%20i%20pieczatek"">Wykonywanie stempli i pieczątek</a>","<span>395301</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC395301%20pieczatki%20wytlaczane%20naklejki%20produkcja"">Pieczątki, wytłaczane naklejki, produkcja</a>","
wytwarzanie pieczątek

"
"Przedsiębiorstwo Wielobranżowe Miracle","PW Miracle","Gnieznieńska 23",Wągrowiec,62-514,"Michał Marchlewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(660)468563,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@miracleshop.pl"">sklep</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.miracleshop.pl"">www.miracleshop.pl</a>",,,2007,"
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>52.61</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5261%20sprzedaz%20detaliczna%20prowadzona%20przez%20domy%20sprzedazy%20wysylkowej"">Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej</a>
","
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
<span>508701</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC508701%20sprzet%20i%20wyposazenie%20salonow%20kosmetycznych%20i%20fryzjerskich%20hurt"">Sprzęt i wyposażenie salonów kosmetycznych i fryzjerskich, hurt</a>
<span>5961</span>Sprzedaż wysyłkowa
","
żele UV, akryle, tipsy, produkty do pielęgnacji paznokci
sklep internetowy

"
"Zakład Cukierniczy Mariusz Kilian - Cukiernia Królewska",,"Gnieźniejska 71",Wągrowiec,62-122,"Mariusz Kilian",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2675875,(67)2675875,prywatna,"zakład prywatny bez formy prawnej","<a title=""@ciasto.pl"">kiliao</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.ciasto.ql"">www.ciasto.ql</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.cukifrnictwo.pl"">www.cukifrnictwo.pl</a>
",,,1995,"
<span>15.81.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE15812%20produkcja%20swiezych%20wyrobow%20piekarniczych%20ciast%20ciastek%20ciastek%20owocowych"">Produkcja świeżych wyrobów piekarniczych, ciast, ciastek, ciastek owocowych</a>
<span>52.24.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52242%20sprzedaz%20detaliczna%20ciast%20i%20wyrobow%20macznych"">Sprzedaż detaliczna ciast i wyrobów mącznych</a>
","
<span>205102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC205102%20ciasta%20placki%20torty%20itp%20%20produkcja"">Ciasta, placki, torty itp., produkcja</a>
<span>5441</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5441%20sklepy%20cukiernicze"">Sklepy cukiernicze</a>
",
"Gabinet Weterynaryjny",,"Gnieźnieńska 5",Wągrowiec,62-954,"Michał Borowiński",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2695890,(67)2695890,prywatna,"zakład prywatny bez formy prawnej","<a title=""@poczta.wp.pl"">borozinski</a>",,2,,1990,"<span>85.22</span>Instytucje weterynaryjne i lekarze weterynarii poza klinikami weterynaryjnymi","<span>0742</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC0742%20uslugi%20weterynaryjne%20nierolnicze"">Usługi weterynaryjne nierolnicze</a>",
"Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe HENKO D.B. Dorota Bartczak","PPHU HENKO D.B. Dorota Bartczak","Gnieźnieńska 2",Wągrowiec,62-954,"Dorota Bartczak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2666760,,prywatna,"zakład prywatny bez formy prawnej",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.kenko-db-meble.info"">www.kenko-db-meble.info</a>",,,,"<span>52.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52441%20sprzedaz%20detaliczna%20mebli%20i%20umeblowania"">Sprzedaż detaliczna mebli i umeblowania</a>","<span>571299</span>Sklepy meblowe, osobno nie wymienione",
"Piekarnia Cukiernia S.C. W. Zborowski i K. Zborowski",,"Gnieźnieńska 67",Wągrowiec,62-733,"
Wojciech Zborowski
Krystian Zborowski
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2680881,(67)2585780,prywatna,"spółka cywilna",,,50,"5,000,000 zł.",1880,"
<span>15.81</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE1581%20produkcja%20chleba%20oraz%20swiezych%20wyrobow%20piekarniczych%20produkcja%20ciast%20i%20ciastek"">Produkcja chleba oraz świeżych wyrobów piekarniczych; produkcja ciast i ciastek</a>
<span>15.82</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE1582%20produkcja%20herbatnikow%20i%20sucharow%20produkcja%20ciast%20i%20ciastek%20o%20przedluzonej%20trwalosci"">Produkcja herbatników i sucharów; produkcja ciast i ciastek o przedłużonej trwałości</a>
<span>52.24</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5224%20sprzedaz%20detaliczna%20chleba%20ciast%20wyrobow%20macznych%20i%20cukierniczych"">Sprzedaż detaliczna chleba, ciast, wyrobów mącznych i cukierniczych</a>
","
<span>205101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC205101%20chleb%20bulki%20produkcja"">Chleb, bułki, produkcja</a>
<span>205102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC205102%20ciasta%20placki%20torty%20itp%20%20produkcja"">Ciasta, placki, torty itp., produkcja</a>
<span>5461</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5461%20piekarnie%20detaliczne"">Piekarnie detaliczne</a>
","
wyroby piekarnicze (pieczywo, ciasta)
sprzedaż wyrobów własnych

"
"Przedsiębiorstwo Produkcyjno-Handlowe Pasz-Rol","PPH Pasz-Rol","Gnieźnieńska 71",Wągrowiec,62-122,"Andrzej Juszczyk",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2671971,,prywatna,"zakład prywatny bez formy prawnej",,,3,"5,000,000 zł.",1991,"<span>51.21.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51213%20sprzedaz%20hurtowa%20pasz%20dla%20zwierzat"">Sprzedaż hurtowa pasz dla zwierząt</a>","<span>519102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC519102%20pasze%20hurt"">Pasze, hurt</a>","pasze, koncentraty"
"Wielobranżowa Spółdzielnia Inwalidów - Zaklad Pracy Chronionej","WSI - ZPChr","Gnieźnieńska 71",Wągrowiec,62-842,"prez. Jarosław Wójcik",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2670970 7687917",(67)2670971,"Skarb Państwa",spółdzielnia,"<a title=""@wsi.com.pl"">wsi.wahrowiec</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.wsi.com.pl"">www.wsi.com.pl</a>",200,,1979,"
<span>28.75.82</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE287582%20produkcja%20zatrzaskow%20okuc%20z%20zatrzaskami%20sprzaczek%20zapinek%20haczykow%20itp%20wyrobow%20z%20metalu"">Produkcja zatrzasków, okuć z zatrzaskami, sprzączek, zapinek, haczyków itp. wyrobów z metalu</a>
<span>25.22</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2522%20produkcja%20opakowan%20z%20tworzyw%20sztucznych"">Produkcja opakowań z tworzyw sztucznych</a>
<span>21.12</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2112%20produkcja%20papieru%20i%20tektury"">Produkcja papieru i tektury</a>
<span>18.22.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE18222%20krawiectwo"">Krawiectwo</a>
<span>22.23</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2223%20introligatorstwo"">Introligatorstwo</a>
<span>52.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524%20sprzedaz%20detaliczna%20towarow%20przemyslowych%20prowadzona%20w%20wyspecjalizowanych%20sklepach"">Sprzedaż detaliczna towarów przemysłowych prowadzona w wyspecjalizowanych sklepach</a>
","
<span>3462</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3462%20okucia%20zelazne%20i%20stalowe%20produkcja"">Okucia żelazne i stalowe, produkcja</a>
<span>3081</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC3081%20folia%20i%20arkusze%20plastikowe%20produkcja"">Folia i arkusze plastikowe, produkcja</a>
<span>2631</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC2631%20produkcja%20kartonu"">Produkcja kartonu</a>
<span>721901</span>Krawiectwo, naprawa odzieży
<span>27</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC27%20poligrafia%20i%20wydawnictwa"">Poligrafia i wydawnictwa</a>
<span>5331</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5331%20mniejsze%20sklepy%20wielobranzowe"">Mniejsze sklepy wielobranżowe</a>
","
okucia metalowe
wyroby z folii (worki)
kartony
krawiectwo
Usługi introligatorskie, handel artykułami przemysłowymi.
"
